Project,Release date,Due date
xref:20200-2024-project01.adoc[Project 1: Review: Jupyter Lab],8-Jan,19-Jan
xref:20200-2024-project02.adoc[Project 2: Introduction to web scraping with BeautifulSoup],11-Jan,26-Jan
xref:20200-2024-project03.adoc[Project 3: Introduction to web scraping with XPath],25-Jan,2-Feb
xref:20200-2024-project04.adoc[Project 4: Analyzing more than one hundred thousand XML files at once],1-Feb,9-Feb
xref:20200-2024-project05.adoc[Project 5: Extracting information about No Starch Press books from the OReilly website using Selenium],8-Feb,16-Feb
xref:20200-2024-project06.adoc[Project 6: Data Visualization],Feb 15,Feb 23
xref:20200-2024-project07.adoc[Project 7: Learning Dash],22-Feb,1-Mar
xref:20200-2024-project08.adoc[Project 8: Introduction to Spark SQL],Feb 29,Mar 8
xref:20200-2024-project09.adoc[Project 9: More Spark SQL and also streaming Spark SQL],7-Mar,22-Mar
xref:20200-2024-project10.adoc[Project 10: Introduction to Machine Learning],21-Mar,29-Mar
xref:20200-2024-project11.adoc[Project 11: More information about Machine Learning],28-Mar,5-Apr
xref:20200-2024-project12.adoc[Project 12: Introduction to containerization],4-Apr,12-Apr
xref:20200-2024-project13.adoc[Project 13: More information about containerization],11-Apr,19-Apr
xref:20200-2024-project14.adoc[Project 14: Feedback about Spring 2024],18-Apr,26-Apr
