Project,Release date,Due date
xref:spring2023/10200/10200-2023-project01.adoc[Project 1: Introduction to Python: part I],January 9,January 20
xref:spring2023/10200/10200-2023-project02.adoc[Project 2: Introduction to Python: part II],January 19,January 27
xref:spring2023/10200/10200-2023-project03.adoc[Project 3: Introduction to Python: part III],January 26, February 3
xref:spring2023/10200/10200-2023-project04.adoc[Project 4: Scientific computing & pandas: part I],February 2,February 10
xref:spring2023/10200/10200-2023-project05.adoc[Project 5: Functions: part I],February 9,February 17
xref:spring2023/10200/10200-2023-project06.adoc[Project 6: Functions: part II],February 16,February 24
xref:spring2023/10200/10200-2023-project07.adoc[Project 7: Scientific computing & pandas: part II],February 23,March 3
xref:spring2023/10200/10200-2023-project08.adoc[Project 8: Scientific computing & pandas: part III],March 2,March 10
xref:spring2023/10200/10200-2023-project09.adoc[Project 9: Scientific computing & pandas: part IV],March 9,March 24
xref:spring2023/10200/10200-2023-project10.adoc[Project 10: Importing and using packages],March 23,March 31
"xref:spring2023/10200/10200-2023-project11.adoc[Project 11: Classes, dunder methods, attributes, methods, etc.: part I]",March 30,April 7
"xref:spring2023/10200/10200-2023-project12.adoc[Project 12: Classes, dunder methods, attributes, methods, etc.: part II]",April 6,April 14
xref:spring2023/10200/10200-2023-project13.adoc[Project 13: Data wrangling and matplotlib: part I],April 13,April 21
xref:spring2023/10200/10200-2023-project14.adoc[Project 14: Data wrangling and matplotlib: part II],April 20,April 28
