Project,Release date,Due date
xref:10200-2024-project01.adoc[Project 1: Getting acquainted with Jupyter Lab],8-Jan,19-Jan
xref:10200-2024-project02.adoc[Project 2: Python tuples/lists/data frames/matplotlib],11-Jan,26-Jan
xref:10200-2024-project03.adoc[Project 3: Looping through files],25-Jan,2-Feb
xref:10200-2024-project04.adoc[Project 4: Looping through data frames],1-Feb,9-Feb
xref:10200-2024-project05.adoc[Project 5: Writing functions for analyzing data],8-Feb,16-Feb
xref:10200-2024-project06.adoc[Project 6: More practice with functions],Feb 15,Feb 23
xref:10200-2024-project07.adoc[Project 7: Even more practice with functions],22-Feb,1-Mar
xref:10200-2024-project08.adoc[Project 8: Another project with functions],Feb 29,Mar 8
xref:10200-2024-project09.adoc[Project 9: Deeper dive into functions and analysis of data frames],7-Mar,22-Mar
xref:10200-2024-project10.adoc[Project 10: Introduction to numpy],21-Mar,29-Mar
xref:10200-2024-project11.adoc[Project 11: Introduction to classes],28-Mar,5-Apr
xref:10200-2024-project12.adoc[Project 12: Deeper dive into classes],4-Apr,12-Apr
xref:10200-2024-project13.adoc[Project 13: Introduction to flask],11-Apr,19-Apr
xref:10200-2024-project14.adoc[Project 14: Feedback about Spring 2024],18-Apr,26-Apr
