Project,Release date,Due date
"xref:30100-2022-project01.adoc[Project 1: Review: UNIX, terminology, etc.]",August 22,September 2
"xref:30100-2022-project02.adoc[Project 2: Concurrency, parallelism, cores, threads: part I]",August 25,September 5
"xref:30100-2022-project03.adoc[Project 3: Concurrency, parallelism, cores, threads: part II]",September 8,September 16
"xref:30100-2022-project04.adoc[Project 4: Concurrency, parallelism, cores, threads: part III]",September 15,September 23
xref:30100-2022-project05.adoc[Project 5: High performance computing on Brown with SLURM: part I],September 22,September 30
xref:30100-2022-project06.adoc[Project 6: High performance computing on Brown with SLURM: part II],September 29,October 7
xref:30100-2022-project07.adoc[Project 7: High performance computer on Brown with SLURM: part III],October 6,October 21
xref:30100-2022-project08.adoc[Project 8: PyTorch & JAX: part I],October 20,October 28
xref:30100-2022-project09.adoc[Project 9: PyTorch & JAX: part II],October 27,November 4
xref:30100-2022-project10.adoc[Project 10: High performance computing on Brown with SLURM: part IV -- GPUs],November 3,November 11
xref:30100-2022-project11.adoc[Project 11: PyTorch & JAX: part III],November 10,November 18
xref:30100-2022-project12.adoc[Project 12: PyTorch & JAX: part IV],November 17,December 2
xref:30100-2022-project13.adoc[Project 13: ETL fun & review: part I],December 1,December 9
