Project,Release date,Due date
xref:10100-2022-project01.adoc[Project 1: Introduction to Python: part I],August 22,September 2
xref:10100-2022-project02.adoc[Project 2: Introduction to Python: part II],August 25,September 5
xref:10100-2022-project03.adoc[Project 3: Introduction to Python: part III],September 8,September 16
xref:10100-2022-project04.adoc[Project 4: Scientific computing & pandas: part I],September 15,September 23
xref:10100-2022-project05.adoc[Project 5: Functions: part I],September 22,September 30
xref:10100-2022-project06.adoc[Project 6: Functions: part II],September 29,October 7
xref:10100-2022-project07.adoc[Project 7: Scientific computing & pandas: part II],October 6,October 21
xref:10100-2022-project08.adoc[Project 8: Scientific computing & pandas: part III],October 20,October 28
xref:10100-2022-project09.adoc[Project 9: Scientific computing & pandas: part IV],October 27,November 4
xref:10100-2022-project10.adoc[Project 10: Importing and using packages],November 3,November 11
"xref:10100-2022-project11.adoc[Project 11: Classes, dunder methods, attributes, methods, etc.: part I]",November 10,November 18
"xref:10100-2022-project12.adoc[Project 12: Classes, dunder methods, attributes, methods, etc.: part II]",November 17,December 2
xref:10100-2022-project13.adoc[Project 13: Data wrangling and matplotlib],December 1,December 9
