Project,Release date,Due date
xref:30200-2024-project01.adoc[Project 1: Review: Jupyter Lab],8-Jan,19-Jan
xref:30200-2024-project02.adoc[Project 2: Python documentation: part I],11-Jan,26-Jan
xref:30200-2024-project03.adoc[Project 3: Python documentation: part II],25-Jan,2-Feb
xref:30200-2024-project04.adoc[Project 4: Python documentation: part III],1-Feb,9-Feb
xref:30200-2024-project05.adoc[Project 5: Review: part I],8-Feb,16-Feb
xref:30200-2024-project06.adoc[Project 6],Feb 15,Feb 23
xref:30200-2024-project07.adoc[Project 7],22-Feb,1-Mar
xref:30200-2024-project08.adoc[Project 8],Feb 29,Mar 8
xref:30200-2024-project09.adoc[Project 9],7-Mar,22-Mar
xref:30200-2024-project10.adoc[Project 10],21-Mar,29-Mar
xref:30200-2024-project11.adoc[Project 11],28-Mar,5-Apr
xref:30200-2024-project12.adoc[Project 12],4-Apr,12-Apr
xref:30200-2024-project13.adoc[Project 13],11-Apr,19-Apr
xref:30200-2024-project14.adoc[Project 14],18-Apr,26-Apr
