Project,Release date,Due date
xref:20200-2023-project01.adoc[Project 1: Introduction to XML],January 9,January 20
xref:20200-2023-project02.adoc[Project 2: Web scraping in Python: part I],January 19,January 27
xref:20200-2023-project03.adoc[Project 3: Web scraping in Python: part II],January 26, February 3
xref:20200-2023-project04.adoc[Project 4: Web scraping in Python: part III],February 2,February 10
xref:20200-2023-project05.adoc[Project 5: Web scraping in Python: part IV],February 9,February 17
xref:20200-2023-project06.adoc[Project 6: Web scraping in Python: part V],February 16,February 24
xref:20200-2023-project07.adoc[Project 7: Plotting in Python: part I],February 23,March 3
xref:20200-2023-project08.adoc[Project 8: Plotting in Python: part II],March 2,March 10
xref:20200-2023-project09.adoc[Project 9: Plotting in Python: part III],March 9,March 24
xref:20200-2023-project10.adoc[Project 10: Plotting with ggplot: part I],March 23,March 31
xref:20200-2023-project11.adoc[Project 11: Plotting with ggplot: part II],March 30,April 7
xref:20200-2023-project12.adoc[Project 12: Tidyverse and data.table: part I],April 6,April 14
xref:20200-2023-project13.adoc[Project 13: Tidyverse and data.table: part II],April 13,April 21
xref:20200-2023-project14.adoc[Project 14: Tidyverse and data.table: part IV],April 20,April 28
